income,total_debt,num_late_payments,payment_history_score,credit_utilization,age,employment_years,loan_purpose,target,debt_to_income,avg_payment_delay,credit_score_cat
35055,11154,2,300,200,26,16,car,0,0.31817663167503424,0.11764705882352941,low
29916,12781,4,300,49,29,28,personal,0,0.42721529565130195,0.13793103448275862,low
47912,18460,3,300,71,33,17,personal,0,0.3852816563354413,0.16666666666666666,low
52237,2502,3,300,195,35,12,education,0,0.04789616754087063,0.23076923076923078,low
15379,37771,6,300,123,26,8,home,0,2.455851755526658,0.6666666666666666,low
25604,3228,1,300,60,40,9,home,0,0.12606912712360868,0.1,low
43597,16578,0,300,102,57,2,home,0,0.3802468003119409,0.0,low
26075,26241,5,300,24,26,11,personal,0,1.0063276576161988,0.4166666666666667,low
38064,16890,3,300,42,46,24,business,0,0.4437146985419677,0.12,low
66379,31939,0,300,176,64,4,personal,0,0.4811539620367581,0.0,low
17180,7176,1,300,44,45,10,home,0,0.41767068273092367,0.09090909090909091,low
25109,26040,1,300,200,65,3,personal,0,1.037037037037037,0.25,low
41585,20048,3,300,9,72,6,personal,0,0.48208531717404896,0.42857142857142855,low
19323,2648,8,300,73,32,12,home,0,0.13703167046160214,0.6153846153846154,low
86214,60700,4,300,200,62,13,home,0,0.7040538189410196,0.2857142857142857,low
33518,20065,9,300,103,41,1,home,0,0.5986157104925565,4.5,low
28803,12215,2,300,128,43,15,car,0,0.4240730454103597,0.125,low
21104,6217,6,300,35,42,12,education,0,0.29457474532101396,0.46153846153846156,low
43160,33707,3,300,190,38,2,car,0,0.7809596626584184,1.0,low
16478,20231,3,300,64,70,3,car,0,1.2276837186722496,0.75,low
29128,47139,2,300,185,69,1,business,0,1.6182841841463833,1.0,low
24271,3405,5,300,50,55,15,home,0,0.14028510217534607,0.3125,low
58828,37865,5,300,137,25,1,car,0,0.6436451410018869,2.5,low
35045,12697,2,300,200,29,6,car,0,0.3622952690749301,0.2857142857142857,low
51163,10464,4,300,200,64,20,education,0,0.20451880228285513,0.19047619047619047,low
48190,23763,1,300,5,62,6,personal,0,0.4931003714386504,0.14285714285714285,low
44368,55231,8,300,23,44,8,home,0,1.2448105659356759,0.8888888888888888,low
48886,50225,1,300,200,56,3,education,0,1.0273692392660625,0.25,low
42469,5196,7,300,34,36,4,education,0,0.12234518483635508,1.4,low
19431,4273,2,300,13,44,10,home,1,0.21989501852614243,0.18181818181818182,low
53952,9510,6,300,166,52,3,business,0,0.17626452653235222,1.5,low
95581,42926,1,300,178,74,8,home,0,0.44910129522294995,0.1111111111111111,low
57175,5574,3,300,200,65,6,home,0,0.09748845669511683,0.42857142857142855,low
